dh,sign-up,view-all-sales,view-sales,view-product,add-cart,view-cart,checkout
2013-05-13-22,5172,9431,50332,30837,461,959,124
2013-05-13-23,3058,4998,27594,34365,296,748,94
2013-05-14-00,1784,3267,16776,19399,156,295,38
2013-05-14-01,1392,2611,12778,26542,80,124,27
2013-05-14-02,1732,2807,16660,21055,112,177,37
2013-05-14-03,2602,4358,28469,25575,210,411,62
2013-05-14-04,4624,6142,45293,26731,410,672,147
2013-05-14-05,7894,9074,60014,38607,582,997,253
2013-05-14-06,9306,10649,70706,37242,727,1248,334
2013-05-14-07,10040,12082,77556,46683,769,1170,302
2013-05-14-08,17756,35365,303754,153742,5454,7766,2052
2013-05-14-09,17060,22806,157596,92388,2758,4376,1371
2013-05-14-10,15319,17522,118775,72376,1981,3169,964
2013-05-14-11,14972,15812,97445,58931,1444,2442,717
2013-05-14-12,13621,14456,84786,55471,1212,1937,565
2013-05-14-13,13237,13328,73661,55061,1000,1847,423
2013-05-14-14,13396,13358,72611,50378,972,1641,468
2013-05-14-15,11591,12696,65219,41404,726,1403,303
2013-05-14-16,11618,13110,68003,37555,775,1363,328
2013-05-14-17,12416,15639,86110,42512,1024,1926,400
2013-05-14-18,14616,36428,330177,159160,3352,5914,1217
2013-05-14-19,12922,25371,208290,113229,2178,3935,882
2013-05-14-20,10047,17753,133111,76661,1327,2440,505
2013-05-14-21,7065,11892,84831,56536,794,1647,246
2013-05-14-22,4869,8640,48255,30183,540,1184,200
2013-05-14-23,3077,4495,25229,18028,244,408,71
2013-05-15-00,2320,3993,18626,16473,218,471,80
2013-05-15-01,1922,3352,14500,20927,120,379,52
2013-05-15-02,2086,3328,16638,18645,114,245,27
2013-05-15-03,3269,4929,31938,29114,310,459,112
2013-05-15-04,5816,7444,50966,28390,559,776,203
2013-05-15-05,9216,10502,66484,35593,807,1243,349
2013-05-15-06,11465,12669,77626,42958,1013,1492,494
2013-05-15-07,11532,13744,84255,53675,1096,1731,450
2013-05-15-08,19477,39166,356766,186126,5668,8465,2208
2013-05-15-09,16646,23560,173530,98868,2855,4723,1284
2013-05-15-10,19498,23678,132488,71838,1756,3110,796
2013-05-15-11,22113,22946,116294,65749,1596,2501,673
2013-05-15-12,18469,18071,96359,56509,1317,2462,558
2013-05-15-13,16406,16676,91016,64206,1138,2040,471
2013-05-15-14,14634,15466,82474,56079,1063,1888,479
2013-05-15-15,13611,14725,72191,44645,907,1880,380
2013-05-15-16,13703,15363,74536,44150,909,1469,359
2013-05-15-17,14715,17252,87348,52323,902,1608,311
2013-05-15-18,14215,19948,97411,56102,981,2291,442
2013-05-15-19,14005,18225,89149,55052,906,2091,451
2013-05-15-20,11647,14891,71035,47394,818,2058,332
2013-05-15-21,7868,10289,46603,29940,465,1094,230
2013-05-15-22,5542,6959,28508,33274,219,594,102
2013-05-15-23,3454,4303,17519,28780,166,484,73
2013-05-16-00,2313,3320,12111,13342,104,383,61
2013-05-16-01,1980,2817,9357,18895,76,189,18
2013-05-16-02,2135,2646,10478,16544,66,144,15
2013-05-16-03,3226,3945,15395,18758,141,339,59
2013-05-16-04,6316,6291,24979,19826,246,562,163
2013-05-16-05,10866,9622,33325,21024,438,964,272
2013-05-16-06,14014,12364,40365,28135,542,1154,260
2013-05-16-07,15098,14158,54675,46153,754,1430,311
2013-05-16-08,21648,41564,351625,182535,6608,10350,3001
2013-05-16-09,24602,25910,170766,112999,3319,5299,1738
2013-05-16-10,21252,21675,130368,78429,2271,3735,1068
2013-05-16-11,17191,17863,103694,66555,1823,3260,975
2013-05-16-12,17234,15947,89989,60218,1316,2324,662
2013-05-16-13,21263,17677,85362,59641,1134,2050,540
2013-05-16-14,15308,14407,74104,52168,930,1578,440
2013-05-16-15,13182,13545,63808,42106,805,1579,358
2013-05-16-16,12071,13781,65251,43821,764,1857,392
2013-05-16-17,14959,16584,82883,52553,1057,2197,515
2013-05-16-18,17511,37172,323080,172020,3805,6517,1434
2013-05-16-19,15631,26852,209128,127445,2816,5048,1169
2013-05-16-20,12815,20085,148014,94258,1837,3705,868
2013-05-16-21,7745,13531,79965,48202,892,1946,318
2013-05-16-22,5746,10340,59870,45850,661,1736,267
2013-05-16-23,3689,6126,34502,42025,415,992,176
2013-05-17-00,2322,4105,19925,29423,206,421,69
2013-05-17-01,2027,3418,15647,19800,193,413,73
2013-05-17-02,2256,3725,19821,21293,253,440,88
2013-05-17-03,3664,6024,37706,33826,453,815,178
2013-05-17-04,6471,9182,57955,37912,776,1494,362
2013-05-17-05,10154,12626,76503,50972,1051,1831,525
2013-05-17-06,13730,16645,88895,56365,1351,2610,728
2013-05-17-07,13903,18100,97553,67636,1417,2792,760
2013-05-17-08,17440,45818,356683,187736,4546,8347,1736
2013-05-17-09,15375,26205,176406,112684,2136,4275,1018
